Type,Subject,Skill,Taught in year,Level (1-5),Item,Question or text,Choices,Correct answer,Explanation,Reviewer: OK? (Y/N),Reviewer: notes
Question,science,Human Body,3,3,human-body#7,Where does food go right after you swallow it?,The food pipe (oesophagus) | The lungs | The heart | The kidneys,The food pipe (oesophagus),The oesophagus carries food from your mouth down to your stomach.,,
Question,science,Human Body,3,4,human-body#8,Which organs clean your blood and make urine?,The kidneys | The lungs | The heart | The stomach,The kidneys,Kidneys filter waste out of the blood and turn it into urine.,,
Question,science,Human Body,3,4,human-body#9,Which blood cells help fight germs?,White blood cells | Red blood cells | Platelets | Nerve cells,White blood cells,White blood cells are part of your immune system and attack germs.,,
Question,science,Human Body,3,4,human-body#10,What is the largest organ of the human body?,The skin | The liver | The brain | The lungs,The skin,"Skin covers your whole body, making it the largest organ.",,
Question,science,Human Body,3,5,human-body#11,Which blood vessels carry blood away from the heart?,Arteries | Veins | Nerves | Tendons,Arteries,Arteries carry blood away from the heart; veins bring it back.,,
Question,science,Human Body,3,5,human-body#12,Where are most nutrients from food absorbed into the blood?,The small intestine | The stomach | The large intestine | The mouth,The small intestine,The small intestine is long and lined with tiny finger-like villi that absorb nutrients.,,
Question,science,Human Body,3,5,human-body#13,What is the longest bone in the human body?,The femur (thigh bone) | The spine | The skull | The humerus (upper arm),The femur (thigh bone),The femur runs from your hip to your knee.,,
Question,science,Materials & Matter,4,1,materials#0,Ice is water in which state?,Solid | Liquid | Gas | Powder,Solid,"Ice keeps its own shape, so it is a solid.",,
Question,science,Materials & Matter,4,1,materials#1,Which material can you see through?,Clear glass | Wood | Brick | Metal,Clear glass,"Clear glass is transparent, so light passes through it.",,
Question,science,Materials & Matter,4,2,materials#2,What happens to ice when it warms up?,It melts into water | It turns into sand | It gets bigger | Nothing happens,It melts into water,Heat makes ice melt from a solid into liquid water.,,
Question,science,Materials & Matter,4,2,materials#3,Which material would be best for a raincoat?,Plastic | Paper | Cotton wool | Cardboard,Plastic,"Plastic is waterproof, so rain cannot soak through it.",,
Question,science,Materials & Matter,4,2,materials#4,Steam is water as a…,Gas | Solid | Liquid | Metal,Gas,When water boils it turns into a gas called steam (water vapour).,,
Question,science,Materials & Matter,4,3,materials#5,At what temperature does pure water freeze?,0 °C | 10 °C | 37 °C | 100 °C,0 °C,Pure water freezes at 0 °C and boils at 100 °C (at sea level).,,
Question,science,Materials & Matter,4,3,materials#6,At what temperature does pure water boil at sea level?,100 °C | 0 °C | 37 °C | 50 °C,100 °C,"At sea level, pure water boils at 100 °C.",,
Question,science,Materials & Matter,4,3,materials#7,"When water vapour cools and turns back into liquid, it is called…",Condensation | Evaporation | Melting | Freezing,Condensation,That is why drops form on a cold glass: water vapour in the air condenses.,,
Question,science,Materials & Matter,4,4,materials#8,Which of these conducts electricity well?,Copper | Rubber | Wood | Plastic,Copper,"Copper is a metal and a good conductor, which is why it is used in wires.",,
Question,science,Materials & Matter,4,4,materials#9,"When a liquid slowly turns into a gas, it is called…",Evaporation | Condensation | Freezing | Melting,Evaporation,Puddles dry up because the water evaporates into the air.,,
Question,science,Materials & Matter,4,4,materials#10,Which of these is a natural material?,Wool | Plastic | Nylon | Polyester,Wool,"Wool comes from sheep. Plastic, nylon and polyester are made by people.",,
Question,science,Materials & Matter,4,5,materials#11,"In which state are particles held in fixed places, only vibrating?",Solid | Liquid | Gas | They are the same in all states,Solid,"In a solid, particles are held in place and only vibrate, so it keeps its shape. In liquids and gases they move around.",,
Question,science,Materials & Matter,4,5,materials#12,"When sugar dissolves completely in water, the mixture is called a…",Solution | Solid | Gas | Magnet,Solution,A solution forms when one substance dissolves evenly into another.,,
Question,science,Materials & Matter,4,5,materials#13,Everything around us is made of tiny particles called…,Atoms | Cells | Pixels | Grains,Atoms,Atoms are the tiny building blocks of all matter.,,
Question,science,Forces & Energy,4,1,forces-energy#0,A push or a pull is called a…,Force | Colour | Sound | Shape,Force,"Every push or pull is a force. Forces can make things move, stop or change shape.",,
Question,science,Forces & Energy,4,1,forces-energy#1,Which of these will a magnet pick up?,An iron paperclip | A plastic spoon | A wooden pencil | A paper cup,An iron paperclip,"Magnets attract iron and steel, but not plastic, wood or paper.",,
Question,science,Forces & Energy,4,2,forces-energy#2,Which force pulls things down towards the Earth?,Gravity | Friction | Magnetism | Wind,Gravity,Gravity is why things fall when you drop them.,,
Question,science,Forces & Energy,4,2,forces-energy#3,Which of these gives off its own light?,The Sun | The Moon | A mirror | A window,The Sun,The Sun makes its own light. The Moon and mirrors only reflect light.,,
Question,science,Forces & Energy,4,2,forces-energy#4,Which force slows down a ball rolling on grass?,Friction | Magnetism | Electricity | Light,Friction,"Friction happens when surfaces rub together, and it slows moving things down.",,
Question,science,Forces & Energy,4,3,forces-energy#5,What happens when you put the north poles of two magnets together?,They push apart | They stick together | Nothing happens | They get hot,They push apart,Like poles repel (push apart); opposite poles attract.,,
Question,science,Forces & Energy,4,3,forces-energy#6,How is a shadow made?,An object blocks light | Light bounces off water | The ground gets darker by itself | Wind blows light away,An object blocks light,"Light travels in straight lines, so an object in the way leaves a dark shape behind it.",,
Question,science,Forces & Energy,4,3,forces-energy#7,Which surface gives the most friction?,Sandpaper | Ice | Glass | A polished floor,Sandpaper,"Rough surfaces like sandpaper grip more, which means more friction.",,
Question,science,Forces & Energy,4,4,forces-energy#8,What does a switch do in an electric circuit?,Opens or closes the circuit | Makes electricity | Stores the battery | Changes the bulb colour,Opens or closes the circuit,"When a switch is off, it makes a gap, so electricity cannot flow around the circuit.",,
Question,science,Forces & Energy,4,4,forces-energy#9,What causes sound?,Vibrations | Light | Magnets | Shadows,Vibrations,"Sound is made when something vibrates, like a guitar string or your vocal cords.",,
Question,science,Forces & Energy,4,4,forces-energy#10,What kind of energy does a moving car have?,Kinetic energy | Sound energy only | Light energy only | No energy,Kinetic energy,Anything that moves has kinetic energy (energy of motion).,,
Question,science,Forces & Energy,4,5,forces-energy#11,Which travels faster?,Light | Sound | They travel at the same speed | It depends on the colour,Light,"Light is far faster than sound, which is why you see lightning before you hear thunder.",,
Question,science,Forces & Energy,4,5,forces-energy#12,A solar panel changes light energy into…,Electrical energy | Sound energy | Chemical energy in food | Magnetism,Electrical energy,Solar panels turn sunlight into electricity.,,
Question,science,Forces & Energy,4,5,forces-energy#13,What is the unit used to measure force?,The newton | The metre | The litre | The gram,The newton,"Force is measured in newtons (N), named after Isaac Newton.",,
Question,science,Earth & Space,5,1,earth-space#0,What is the name of the star at the centre of our solar system?,The Sun | The Moon | Mars | The North Star,The Sun,"The Sun is a star, and all the planets in our solar system travel around it.",,
Question,science,Earth & Space,5,1,earth-space#1,Which planet do we live on?,Earth | Mars | Jupiter | Venus,Earth,"We live on Earth, the third planet from the Sun.",,
Question,science,Earth & Space,5,2,earth-space#2,About how long does Earth take to travel once around the Sun?,One year | One day | One week | One month,One year,"Earth takes about 365 days, one year, to orbit the Sun.",,
Question,science,Earth & Space,5,2,earth-space#3,About how long does Earth take to spin around once?,One day (24 hours) | One hour | One week | One year,One day (24 hours),"One full spin of Earth takes about 24 hours, giving us one day.",,
Question,science,Earth & Space,5,3,earth-space#4,Which planet is closest to the Sun?,Mercury | Venus | Earth | Neptune,Mercury,Mercury is the closest planet to the Sun.,,
Question,science,Earth & Space,5,3,earth-space#5,What causes day and night?,Earth spinning on its axis | The Sun going around Earth | The Moon blocking the Sun | Clouds covering the Sun,Earth spinning on its axis,"As Earth spins, your side faces the Sun (day) and then turns away (night).",,
Question,science,Earth & Space,5,3,earth-space#6,Which planet is known as the Red Planet?,Mars | Jupiter | Venus | Saturn,Mars,Mars looks red because of iron-rich dust (rust) on its surface.,,
Question,science,Earth & Space,5,4,earth-space#7,What is the largest planet in our solar system?,Jupiter | Saturn | Earth | Neptune,Jupiter,Jupiter is a giant gas planet with more mass than all the other planets put together.,,
Question,science,Earth & Space,5,4,earth-space#8,How many planets are in our solar system?,8 | 7 | 9 | 10,8,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune. Pluto is now called a dwarf planet.",,
Question,science,Earth & Space,5,4,earth-space#9,"Rain, snow, sleet and hail are all kinds of…",Precipitation | Evaporation | Condensation | Erosion,Precipitation,Precipitation is any water that falls from clouds to the ground.,,
Question,science,Earth & Space,5,5,earth-space#10,What causes Earth to have seasons?,The tilt of Earth's axis | Earth getting closer to and further from the Sun | The Moon changing shape | Clouds blocking the Sun,The tilt of Earth's axis,"Earth is tilted, so each half gets more direct sunlight for part of the year (summer).",,
Question,science,Earth & Space,5,5,earth-space#11,Why does the Moon shine at night?,It reflects light from the Sun | It makes its own light | It is on fire | It reflects light from Earth’s cities,It reflects light from the Sun,The Moon has no light of its own; we see sunlight bouncing off it.,,
Question,science,Earth & Space,5,5,earth-space#12,"In the water cycle, how do clouds form?",Water vapour cools and condenses | Wind blows dust together | The Sun makes smoke | Rain goes back up,Water vapour cools and condenses,"Warm water vapour rises, cools and condenses into tiny droplets that make clouds.",,
Question,science,Classifying Living Things,6,1,classification#0,Animals with a backbone are called…,Vertebrates | Invertebrates | Micro-organisms | Plants,Vertebrates,"Fish, amphibians, reptiles, birds and mammals all have a backbone, so they are vertebrates.",,
Question,science,Classifying Living Things,6,1,classification#1,Which of these is an invertebrate?,A snail | A frog | A robin | A salmon,A snail,"A snail has no backbone. Frogs, robins and salmon are vertebrates.",,
Question,science,Classifying Living Things,6,2,classification#2,Which group of vertebrates has feathers?,Birds | Mammals | Reptiles | Amphibians,Birds,Only birds have feathers.,,
Question,science,Classifying Living Things,6,2,classification#3,"Which vertebrate group has dry, scaly skin?",Reptiles | Amphibians | Mammals | Birds,Reptiles,"Reptiles such as lizards and snakes have dry, scaly skin. Amphibians have moist skin.",,
Question,science,Classifying Living Things,6,2,classification#4,How many legs does an insect have?,6 | 4 | 8 | 10,6,All adult insects have 6 legs and 3 body parts.,,
Question,science,Classifying Living Things,6,3,classification#5,Why is a spider not an insect?,It has eight legs | It has wings | It has a backbone | It has six legs,It has eight legs,Spiders have 8 legs and 2 body parts. Insects have 6 legs and 3 body parts.,,
Question,science,Classifying Living Things,6,3,classification#6,Which of these is a micro-organism?,Bacteria | A mushroom | A worm | An ant,Bacteria,Micro-organisms are too small to see without a microscope. Bacteria are micro-organisms.,,
Question,science,Classifying Living Things,6,3,classification#7,Frogs and other amphibians usually…,Live in water when young and on land as adults | Live only in the sea | Have feathers | Feed their young on milk,Live in water when young and on land as adults,"Frogs start as tadpoles in water, then grow lungs and legs and can live on land.",,
Question,science,Classifying Living Things,6,4,classification#8,Which scientist was a pioneer of classification and gave living things two-part Latin names?,Carl Linnaeus | Charles Darwin | Isaac Newton | Mary Anning,Carl Linnaeus,"Carl Linnaeus created the naming system we still use, such as Homo sapiens for humans.",,
Question,science,Classifying Living Things,6,4,classification#9,What is a classification key used for?,Identifying a living thing by answering questions about its features | Unlocking a science lab | Measuring how heavy an animal is | Counting how many animals live in a place,Identifying a living thing by answering questions about its features,"A key asks yes/no questions about features (such as ""Does it have legs?"") to work out what something is.",,
Question,science,Classifying Living Things,6,4,classification#10,A whale and a bat are both…,Mammals | Fish | Birds | Reptiles,Mammals,"Both breathe air, have hair and feed their babies milk, so both are mammals.",,
Question,science,Classifying Living Things,6,5,classification#11,Which feature do ALL mammals share?,They feed their young on milk | They give birth to live young | They live on land | They have four legs,They feed their young on milk,"All mammals feed their young on milk. A few, like the platypus, lay eggs, so ""live young"" is not true of every mammal.",,
Question,science,Classifying Living Things,6,5,classification#12,The mould that grows on old bread is a type of…,Fungus | Plant | Animal | Mineral,Fungus,"Moulds, yeasts and mushrooms are fungi.",,
Question,science,Classifying Living Things,6,5,classification#13,"Why are fungi, like mushrooms, not classified as plants?",They cannot make their own food by photosynthesis | They are always poisonous | They only grow at night | They are not made of cells,They cannot make their own food by photosynthesis,"Plants make food using sunlight. Fungi cannot, so they feed on other things, like dead leaves.",,
Question,science,"Heart, Blood & Health",6,1,circulatory-system#0,What is the main job of the heart?,To pump blood around the body | To digest food | To help us think | To store air,To pump blood around the body,The heart is a muscle that pumps blood through blood vessels to every part of the body.,,
Question,science,"Heart, Blood & Health",6,1,circulatory-system#1,Which of these helps keep your heart healthy?,Regular exercise | Smoking | Sitting still all day | Eating lots of sweets,Regular exercise,Exercise makes the heart muscle stronger. Smoking and too much sugar and fat can harm it.,,
Question,science,"Heart, Blood & Health",6,2,circulatory-system#2,Blood vessels that carry blood back to the heart are called…,Veins | Arteries | Nerves | Tendons,Veins,Veins carry blood back to the heart. Arteries carry it away from the heart.,,
Question,science,"Heart, Blood & Health",6,2,circulatory-system#3,What does blood carry to every part of the body?,Oxygen and nutrients | Only water | Bones | Air bubbles,Oxygen and nutrients,"Blood delivers oxygen from the lungs and nutrients from food, and carries away waste.",,
Question,science,"Heart, Blood & Health",6,2,circulatory-system#4,The tiniest blood vessels are called…,Capillaries | Arteries | Veins | Tendons,Capillaries,Capillaries are so thin that oxygen and nutrients can pass through their walls into the body.,,
Question,science,"Heart, Blood & Health",6,3,circulatory-system#5,Where does blood pick up oxygen?,In the lungs | In the stomach | In the kidneys | In the brain,In the lungs,Oxygen from the air we breathe passes into the blood in the lungs.,,
Question,science,"Heart, Blood & Health",6,3,circulatory-system#6,Why does your heart beat faster when you exercise?,Your muscles need more oxygen | Your bones are growing | You are digesting food | Your blood is getting colder,Your muscles need more oxygen,"Working muscles need more oxygen, so the heart pumps faster to deliver it.",,
Question,science,"Heart, Blood & Health",6,3,circulatory-system#7,How many chambers does the human heart have?,4 | 2 | 3 | 6,4,The heart has 4 chambers: two atria at the top and two ventricles at the bottom.,,
Question,science,"Heart, Blood & Health",6,4,circulatory-system#8,Which part of the blood helps it clot when you cut yourself?,Platelets | Red blood cells | Plasma | White blood cells,Platelets,Platelets stick together to plug a cut and stop the bleeding.,,
Question,science,"Heart, Blood & Health",6,4,circulatory-system#9,"The liquid part of blood, which carries dissolved nutrients, is called…",Plasma | Platelets | Marrow | Saliva,Plasma,"Plasma is mostly water and carries nutrients, water and waste around the body.",,
Question,science,"Heart, Blood & Health",6,4,circulatory-system#10,Smoking is especially harmful to which organs?,The heart and lungs | The hair and nails | The teeth only | The bones only,The heart and lungs,Smoking damages the lungs and blood vessels and makes heart disease more likely.,,
Question,science,"Heart, Blood & Health",6,5,circulatory-system#11,Which side of the heart pumps blood to the lungs?,The right side | The left side | Neither side | The heart does not pump blood to the lungs,The right side,The right side pumps blood to the lungs to collect oxygen. The left side pumps it to the rest of the body.,,
Question,science,"Heart, Blood & Health",6,5,circulatory-system#12,Why do arteries have thicker walls than veins?,They carry blood at high pressure straight from the heart | They carry more oxygen | They are older | They carry food instead of blood,They carry blood at high pressure straight from the heart,"Each heartbeat pushes blood into the arteries at high pressure, so they need thick, stretchy walls.",,
Question,science,"Heart, Blood & Health",6,5,circulatory-system#13,How are nutrients from digested food carried around the body?,Dissolved in the blood | Along the nerves | Through the bones | In the air we breathe,Dissolved in the blood,"Nutrients pass from the small intestine into the blood, which carries them to every cell.",,
Question,science,Evolution & Inheritance,6,1,evolution-inheritance#0,What is a fossil?,"The remains or traces of a living thing from long ago, preserved in rock | A type of crystal | A plant that is still growing | A rock shaped by the sea","The remains or traces of a living thing from long ago, preserved in rock","Fossils form over millions of years, often when a plant or animal is buried and turned to rock.",,
Question,science,Evolution & Inheritance,6,1,evolution-inheritance#1,What are the offspring of a living thing?,Its young | Its parents | Its food | Its home,Its young,Offspring are the young that a plant or animal produces.,,
Question,science,Evolution & Inheritance,6,2,evolution-inheritance#2,Are offspring usually identical to their parents?,"No, they are similar but usually vary | Yes, always exactly the same | No, they look nothing alike | Only in plants","No, they are similar but usually vary",Offspring are the same kind of living thing as their parents but are not identical. This is called variation.,,
Question,science,Evolution & Inheritance,6,2,evolution-inheritance#3,An arctic fox has thick white fur. This helps it survive in the snow and is an example of…,Adaptation | Photosynthesis | Evaporation | Classification,Adaptation,An adaptation is a feature that helps a living thing survive in its environment.,,
Question,science,Evolution & Inheritance,6,2,evolution-inheritance#4,How does a camel's hump help it survive in the desert?,It stores fat that can be used for energy | It stores water | It keeps the camel cool | It helps the camel see further,It stores fat that can be used for energy,"A camel's hump stores fat, not water. The fat can be used for energy when food is scarce.",,
Question,science,Evolution & Inheritance,6,3,evolution-inheritance#5,Which fossil hunter made famous discoveries at Lyme Regis?,Mary Anning | Carl Linnaeus | Isaac Newton | Florence Nightingale,Mary Anning,Mary Anning found ichthyosaur and plesiosaur fossils on the Dorset coast in the early 1800s.,,
Question,science,Evolution & Inheritance,6,3,evolution-inheritance#6,How are cactuses adapted to hot deserts?,They store water in thick stems and have spines instead of broad leaves | They grow huge soft leaves | They need lots of rain every day | They only grow in shade,They store water in thick stems and have spines instead of broad leaves,"Thick stems store water, and spines lose less water than broad leaves (and protect the plant).",,
Question,science,Evolution & Inheritance,6,3,evolution-inheritance#7,Features passed from parents to their offspring are…,Inherited | Learnt at school | Caught like a cold | Made up,Inherited,"Inherited characteristics, like eye colour, are passed on from parents.",,
Question,science,Evolution & Inheritance,6,4,evolution-inheritance#8,Which two scientists developed the idea of evolution by natural selection?,Charles Darwin and Alfred Russel Wallace | Isaac Newton and Albert Einstein | Mary Anning and Carl Linnaeus | Marie Curie and Louis Pasteur,Charles Darwin and Alfred Russel Wallace,"Darwin and Wallace both came up with natural selection, and their ideas were presented together in 1858.",,
Question,science,Evolution & Inheritance,6,4,evolution-inheritance#9,"In natural selection, which living things are most likely to survive and have offspring?",Those best adapted to their environment | Always the biggest ones | Always the oldest ones | Those that move the least,Those best adapted to their environment,"Living things with helpful features survive better, so they have more offspring and pass those features on.",,
Question,science,Evolution & Inheritance,6,4,evolution-inheritance#10,"If a labrador and a poodle have puppies, the puppies will…",Have a mix of features from both parents | Look exactly like the poodle | Not be dogs | Have no features from either parent,Have a mix of features from both parents,"Offspring inherit characteristics from both parents, so they show a mix.",,
Question,science,Evolution & Inheritance,6,5,evolution-inheritance#11,What do fossils tell us about living things?,They have changed over millions of years | They never change | Dinosaurs are alive today | All animals lived at the same time,They have changed over millions of years,"Fossils show animals and plants that no longer exist, and how living things have changed over time.",,
Question,science,Evolution & Inheritance,6,5,evolution-inheritance#12,"According to natural selection, why do giraffes have long necks?","Giraffes born with longer necks reached more food, survived, and passed long necks on | Giraffes stretched their necks and passed the stretch on to their babies | Giraffes decided to grow longer necks | Their necks grew because they ate leaves","Giraffes born with longer necks reached more food, survived, and passed long necks on",Stretching during life is not passed on. Natural variation plus survival of the best adapted explains it.,,
Question,science,Evolution & Inheritance,6,5,evolution-inheritance#13,Why is variation between offspring important for evolution?,"Some variations help survival, and these get passed on | It makes all animals identical | It stops animals from changing | It only affects plants","Some variations help survival, and these get passed on",Without variation there would be nothing for natural selection to choose between.,,
Question,science,Light (Year 6),6,1,light-y6#0,Light travels in…,Straight lines | Curves | Circles | Zigzags,Straight lines,"Light travels in straight lines, which is why it cannot go around objects.",,
Question,science,Light (Year 6),6,1,light-y6#1,Which of these is a light source?,A lit candle | A mirror | The Moon | A white wall,A lit candle,"A light source gives out its own light. Mirrors, the Moon and walls only reflect light.",,
Question,science,Light (Year 6),6,2,light-y6#2,How do we see a book in a lit room?,Light reflects off the book into our eyes | Light shines out of our eyes onto the book | The book makes its own light | We can see without any light,Light reflects off the book into our eyes,"Light travels from a source, bounces off the book, and travels in a straight line into our eyes.",,
Question,science,Light (Year 6),6,2,light-y6#3,Why does a shadow have the same shape as the object?,"Light travels in straight lines, so the object blocks light in its own shape | Shadows are copies made by our eyes | The object gives out dark light | Light bends around the object","Light travels in straight lines, so the object blocks light in its own shape","The object blocks the straight-line light rays, leaving a dark area with the same outline.",,
Question,science,Light (Year 6),6,3,light-y6#4,What happens to a shadow when you move an object closer to the light source?,It gets bigger | It gets smaller | It stays the same size | It disappears,It gets bigger,"Closer to the light, the object blocks more of the spreading light, so the shadow grows.",,
Question,science,Light (Year 6),6,3,light-y6#5,Which surface reflects light best?,A mirror | Black paper | A carpet | A wooden table,A mirror,"Smooth, shiny surfaces like mirrors reflect light best.",,
Question,science,Light (Year 6),6,3,light-y6#6,A simple periscope uses what to let you see over a wall?,Two mirrors | A magnet | A torch | A shadow,Two mirrors,"Light reflects off the top mirror, down to the bottom mirror and into your eye.",,
Question,science,Light (Year 6),6,4,light-y6#7,Why should you never look directly at the Sun?,Its light is so strong it can damage your eyes | It will make the Sun go out | It makes shadows disappear | The Sun is too far away to see,Its light is so strong it can damage your eyes,"Sunlight is very intense and can permanently damage your eyes, even through sunglasses.",,
Question,science,Light (Year 6),6,4,light-y6#8,Which material would make the darkest shadow?,Cardboard (opaque) | Clear glass (transparent) | Tissue paper (translucent) | Clear plastic (transparent),Cardboard (opaque),"Opaque materials block all light, so they make the darkest shadows.",,
Question,science,Light (Year 6),6,4,light-y6#9,A straw in a glass of water looks bent because light…,Changes direction as it passes between water and air | Is blocked by the water | Is soaked up by the straw | Stops travelling in water,Changes direction as it passes between water and air,Light bends when it moves from one material to another. This is called refraction.,,
Question,science,Light (Year 6),6,5,light-y6#10,A rainbow forms when sunlight…,Is split into colours by raindrops | Bounces off clouds | Reflects off the ground | Passes through the Moon,Is split into colours by raindrops,Raindrops bend and split white sunlight into its colours.,,
Question,science,Light (Year 6),6,5,light-y6#11,White light is made up of…,A mixture of all the colours | Only white | Only yellow | Only blue,A mixture of all the colours,"A prism or raindrops can split white light into red, orange, yellow, green, blue, indigo and violet.",,
Question,science,Light (Year 6),6,5,light-y6#12,Why does a red apple look red?,It reflects red light and absorbs most other colours | It gives out red light | It absorbs red light | Red light cannot reach it,It reflects red light and absorbs most other colours,We see the colour of light that an object reflects into our eyes.,,
Question,science,Electricity (Year 6),6,1,electricity-y6#0,"For a bulb to light up, the circuit must be…",Complete (a full loop) | Broken | Wet | Made of wood,Complete (a full loop),"Electricity can only flow if there is a complete loop from the cell, through the bulb and back.",,
Question,science,Electricity (Year 6),6,1,electricity-y6#1,What does a cell (battery) do in a circuit?,It provides the energy to push electricity around the circuit | It stops electricity | It makes light by itself | It measures the circuit,It provides the energy to push electricity around the circuit,The cell is the power source that pushes the current around the circuit.,,
Question,science,Electricity (Year 6),6,2,electricity-y6#2,"In a series circuit, what happens to a bulb if you add another cell?",It gets brighter | It gets dimmer | Nothing changes | It changes colour,It gets brighter,"More cells give a higher voltage, so more energy reaches the bulb and it glows brighter.",,
Question,science,Electricity (Year 6),6,2,electricity-y6#3,What happens to a buzzer if you use a higher-voltage cell?,It gets louder | It gets quieter | It stops working | Nothing changes,It gets louder,"A higher voltage gives the buzzer more energy, so it sounds louder.",,
Question,science,Electricity (Year 6),6,2,electricity-y6#4,What happens when a switch is open (off)?,The circuit is broken and electricity stops flowing | The bulb gets brighter | The cell recharges | Electricity flows faster,The circuit is broken and electricity stops flowing,An open switch makes a gap in the circuit.,,
Question,science,Electricity (Year 6),6,3,electricity-y6#5,"In a series circuit with one cell, what happens if you add a second bulb?",Both bulbs are dimmer | Both bulbs are brighter | Nothing changes | One bulb goes out,Both bulbs are dimmer,"The same cell now has to push electricity through two bulbs, so each gets less energy and is dimmer.",,
Question,science,Electricity (Year 6),6,3,electricity-y6#6,What is voltage measured in?,Volts | Amps | Metres | Grams,Volts,Voltage is measured in volts (V). A typical AA cell is 1.5 V.,,
Question,science,Electricity (Year 6),6,3,electricity-y6#7,Which of these is an electrical conductor?,A steel paperclip | A plastic ruler | A rubber band | A wooden peg,A steel paperclip,"Metals like steel conduct electricity. Plastic, rubber and wood are insulators.",,
Question,science,Electricity (Year 6),6,4,electricity-y6#8,"In a circuit diagram, what does a circle with a cross inside it show?",A bulb (lamp) | A cell | A switch | A buzzer,A bulb (lamp),A circle with a cross is the symbol for a lamp (bulb).,,
Question,science,Electricity (Year 6),6,4,electricity-y6#9,"In a circuit diagram, a long line next to a shorter line shows…",A cell | A bulb | A wire | A motor,A cell,The cell symbol is a long line (positive) next to a short line (negative).,,
Question,science,Electricity (Year 6),6,4,electricity-y6#10,Why do scientists use symbols in circuit diagrams?,They are simple and understood everywhere | They look prettier than drawings | They make circuits work better | They are secret codes,They are simple and understood everywhere,Standard symbols make circuits quick to draw and easy for anyone to read.,,
Question,science,Electricity (Year 6),6,5,electricity-y6#11,"If one bulb breaks in a series circuit, what happens to the other bulbs?",They go out too | They get brighter | They stay the same | They change colour,They go out too,A series circuit is a single loop. One broken bulb breaks the loop for everything.,,
Question,science,Electricity (Year 6),6,5,electricity-y6#12,Why might a bulb blow if you connect too many cells?,The voltage is too high for the bulb | The wires get too long | The cells run out | The switch is off,The voltage is too high for the bulb,Each bulb is made for a certain voltage. Too high and its thin filament overheats and breaks.,,
Question,science,Electricity (Year 6),6,5,electricity-y6#13,A motor in a circuit changes electrical energy into…,Movement (kinetic energy) | Light only | Sound only | Chemical energy,Movement (kinetic energy),A motor uses electricity to make something spin.,,
Question,english,Tricky Spellings,6,1,spelling-words#average,Which spelling is correct?,average | averige | avrage,average,The correct spelling is average.,,
Question,english,Tricky Spellings,6,1,spelling-words#bargain,Which spelling is correct?,bargain | bargin | bargian,bargain,bargain: It ends in -gain: bar + gain.,,
Question,english,Tricky Spellings,6,1,spelling-words#bruise,Which spelling is correct?,bruise | bruse | bruize,bruise,"bruise: There is a silent ""i"" after the ""u"".",,
Question,english,Tricky Spellings,6,1,spelling-words#develop,Which spelling is correct?,develop | develope | devlop,develop,"develop: No ""e"" on the end.",,
Question,english,Tricky Spellings,6,1,spelling-words#forty,Which spelling is correct?,forty | fourty | fortey,forty,"forty: Four has a ""u"" but forty does not.",,
Question,english,Tricky Spellings,6,1,spelling-words#identity,Which spelling is correct?,identity | identaty | idenity,identity,The correct spelling is identity.,,
Question,english,Tricky Spellings,6,1,spelling-words#language,Which spelling is correct?,language | langauge | languige,language,"language: The ""u"" comes straight after the ""g"": lang-u-age.",,
Question,english,Tricky Spellings,6,1,spelling-words#muscle,Which spelling is correct?,muscle | mussle | muscel,muscle,"muscle: It has a silent ""c"": mus-cle.",,
Question,english,Tricky Spellings,6,1,spelling-words#relevant,Which spelling is correct?,relevant | relevent | relavant,relevant,relevant: It ends in -ant.,,
Question,english,Tricky Spellings,6,1,spelling-words#shoulder,Which spelling is correct?,shoulder | sholder | shouldor,shoulder,"shoulder: It starts like ""should"".",,
Question,english,Tricky Spellings,6,1,spelling-words#soldier,Which spelling is correct?,soldier | soldeir | soljer,soldier,"soldier: The ""j"" sound is spelt ""di"": sol-di-er.",,
Question,english,Tricky Spellings,6,1,spelling-words#stomach,Which spelling is correct?,stomach | stomache | stumach,stomach,"stomach: The ""k"" sound is spelt ""ch"" and there is no ""e"" on the end.",,
Question,english,Tricky Spellings,6,1,spelling-words#suggest,Which spelling is correct?,suggest | sugest | suggust,suggest,"suggest: Double ""g"".",,
Question,english,Tricky Spellings,6,1,spelling-words#symbol,Which spelling is correct?,symbol | symbal | simbol,symbol,"symbol: It uses ""y"" and ends in -bol.",,
Question,english,Tricky Spellings,6,1,spelling-words#system,Which spelling is correct?,system | sistem | systom,system,"system: It uses ""y"": sys-tem.",,
Question,english,Tricky Spellings,6,1,spelling-words#variety,Which spelling is correct?,variety | varity | variaty,variety,"variety: Think of ""vary"": var-i-e-ty.",,
Question,english,Tricky Spellings,6,1,spelling-words#vegetable,Which spelling is correct?,vegetable | vegtable | vegetible,vegetable,vegetable: Say it slowly: veg-e-ta-ble.,,
Question,english,Tricky Spellings,6,1,spelling-words#yacht,Which spelling is correct?,yacht | yatch | yaht,yacht,"yacht: The ""ch"" is silent and comes after the ""a"": ya-ch-t.",,
Question,english,Tricky Spellings,6,2,spelling-words#achieve,Which spelling is correct?,achieve | acheive | achive,achieve,"achieve: ""i"" before ""e"" in achieve.",,
